EAN;SKU;Vendor Item No.;Art. Codigo;Art. Nombre;Color Codigo;Color Nombre;Color Base;Talla;Talla EUR;Año;Marca;Familia;Linea;Tipo;Estacion;Uds x pack;Cantidad Minima;En Multiplos de;No servir antes de;Foto;Foto2;Foto3;Foto4;Foto5;Foto6;Foto7;Foto8;Foto9;Foto10;Foto11;Foto12;Descripcion larga;Cod. Arancelario;FEDAS;Cod. Pais;PVPR;linea_web;gama;capacidad;tipo_cierre;composicion;dimensiones;botin;ruedas_patines;rodamiento;guia;freno;chasis;actividad;familia_web;tecnologia;genero
8034033120574;06214600 091 XL;06214600 091;06214600;CODERAS PRO;091;ANTRACITA/NEGRO;MARRÓN;XL;;16;ROLLERBLADE;PROTECCIONES;;;SS;1;0;0;;http://bmsportech.es/media/images/marcas/rollerblade/products/06214600 091.UNICA.1.jpg;;;;;;;;;;;;Las protecciones para los codos tienen forma anatómica están diseñadas con materiales de malla transpirable, un alto nivel de durabilidad y una protección óptima.;9506 99 90;;CN;13,95;;;;;;;;;;;;;Patinaje;Protecciones;;Unisex
8034033119769;06228000 000;06228000 000;06228000;RODAMIENTOS TRAINING SG 9;000;NEUTRO;MULTICOLOR;UNICA;;25;ROLLERBLADE;COMPONENTES Y RECAMB;RODAMIENTOS;;SS;1;0;0;;http://bmsportech.es/media/images/marcas/rollerblade/products/06228000 000.UNICA.1.jpg;;;;;;;;;;;;Los rodamientos SG9 combinan un alto nivel de precisión con una mezcla de silicona y grasa para proteger los cojinetes de los elementos y permitir que Las ruedas giren más rápido mientras los mantienen bien lubricados. Cuanto mayor sea el número al final del cojinete, indica un nivel más alto De precisión, tolerancia y velocidad. Incluye 16 rodamientos..Gran rendimiento y durabilidad del diseño de rodamientos de 7 bolas..Menos fricción y velocidad aumentada son dos de los principales beneficios de la mezcla de silicona / grasa..Los protectores de metal evitan que las impurezas entren en los cojinetes para un desempeño y giro consistentes .;8482 10 10;;CN;39,99;Rodamientos;;;;;;;;;;;;Patinaje;Componentes;;Unisex
8034033084784;0T200100 741 1;0T200100 741;0T200100;PATINES DYNAMO-ADJ HOCKEY;741;NEGRO/ROJO;NEGRO;1 (32-35 EU);;25;ROLLERBLADE;PATINES BLADERUNNER;JUNIOR;;SS;1;0;0;;http://bmsportech.es/media/images/marcas/rollerblade/products/0T200100 741.UNICA.1.jpg;http://bmsportech.es/media/images/marcas/rollerblade/products/0T200100 741.UNICA.2.jpg;http://bmsportech.es/media/images/marcas/rollerblade/products/0T200100 741.UNICA.3.jpg;http://bmsportech.es/media/images/marcas/rollerblade/products/0T200100 741.UNICA.4.jpg;http://bmsportech.es/media/images/marcas/rollerblade/products/0T200100 741.UNICA.5.jpg;http://bmsportech.es/media/images/marcas/rollerblade/products/0T200100 741.UNICA.6.jpg;;;;;;;Dynamo es un patín en línea ajustable de estilo hockey para niños. Creado para el patinador que juega hockey no competitivo y no prefiere un estilo recreativo tradicional, este patín se extiende cuatro tamaños completos para acomodar un pie en crecimiento. La puntera rígida agrega protección, combinada con una lengüeta acolchada y un cierre estándar de encaje de hockey, El freno es estándar. Las ruedas Bladerunner de 72 mm y los rodamientos ABEC 5 brindan una aceleración rápida como se usa en el hockey. Dynamo mantiene el aspecto, la sensación y el soporte tradicionales de un patín de hockey a un precio basado en el valor.;9506 70 30;;CN;139,99;Junior;;;Cordones;;;Tela suave;72mm / 80A;ABEC 5;Aluminio;En el patin;Dynamo, estilo hockey, 4 tamaños ajustables;Patinaje;Patines Bladerunner;;Junior
8034033084777;0T200100 741 11J;0T200100 741;0T200100;PATINES DYNAMO-ADJ HOCKEY;741;NEGRO/ROJO;NEGRO;11J-1 (28-32 EU);;25;ROLLERBLADE;PATINES BLADERUNNER;JUNIOR;;SS;1;0;0;;http://bmsportech.es/media/images/marcas/rollerblade/products/0T200100 741.UNICA.1.jpg;http://bmsportech.es/media/images/marcas/rollerblade/products/0T200100 741.UNICA.2.jpg;http://bmsportech.es/media/images/marcas/rollerblade/products/0T200100 741.UNICA.3.jpg;http://bmsportech.es/media/images/marcas/rollerblade/products/0T200100 741.UNICA.4.jpg;http://bmsportech.es/media/images/marcas/rollerblade/products/0T200100 741.UNICA.5.jpg;http://bmsportech.es/media/images/marcas/rollerblade/products/0T200100 741.UNICA.6.jpg;;;;;;;Dynamo es un patín en línea ajustable de estilo hockey para niños. Creado para el patinador que juega hockey no competitivo y no prefiere un estilo recreativo tradicional, este patín se extiende cuatro tamaños completos para acomodar un pie en crecimiento. La puntera rígida agrega protección, combinada con una lengüeta acolchada y un cierre estándar de encaje de hockey, El freno es estándar. Las ruedas Bladerunner de 72 mm y los rodamientos ABEC 5 brindan una aceleración rápida como se usa en el hockey. Dynamo mantiene el aspecto, la sensación y el soporte tradicionales de un patín de hockey a un precio basado en el valor.;9506 70 30;;CN;139,99;Junior;;;Cordones;;;Tela suave;72mm / 80A;ABEC 5;Aluminio;En el patin;Dynamo, estilo hockey, 4 tamaños ajustables;Patinaje;Patines Bladerunner;;Junior
8034033084791;0T200100 741 4;0T200100 741;0T200100;PATINES DYNAMO-ADJ HOCKEY;741;NEGRO/ROJO;NEGRO;4 (35-39 EU);;25;ROLLERBLADE;PATINES BLADERUNNER;JUNIOR;;SS;1;0;0;;http://bmsportech.es/media/images/marcas/rollerblade/products/0T200100 741.UNICA.1.jpg;http://bmsportech.es/media/images/marcas/rollerblade/products/0T200100 741.UNICA.2.jpg;http://bmsportech.es/media/images/marcas/rollerblade/products/0T200100 741.UNICA.3.jpg;http://bmsportech.es/media/images/marcas/rollerblade/products/0T200100 741.UNICA.4.jpg;http://bmsportech.es/media/images/marcas/rollerblade/products/0T200100 741.UNICA.5.jpg;http://bmsportech.es/media/images/marcas/rollerblade/products/0T200100 741.UNICA.6.jpg;;;;;;;Dynamo es un patín en línea ajustable de estilo hockey para niños. Creado para el patinador que juega hockey no competitivo y no prefiere un estilo recreativo tradicional, este patín se extiende cuatro tamaños completos para acomodar un pie en crecimiento. La puntera rígida agrega protección, combinada con una lengüeta acolchada y un cierre estándar de encaje de hockey, El freno es estándar. Las ruedas Bladerunner de 72 mm y los rodamientos ABEC 5 brindan una aceleración rápida como se usa en el hockey. Dynamo mantiene el aspecto, la sensación y el soporte tradicionales de un patín de hockey a un precio basado en el valor.;9506 70 30;;CN;139,99;Junior;;;Cordones;;;Tela suave;72mm / 80A;ABEC 5;Aluminio;En el patin;Dynamo, estilo hockey, 4 tamaños ajustables;Patinaje;Patines Bladerunner;;Junior
8034033171675;09202600 001;09202600 001;09202600;TORNILLOS JUNIOR (9UDS);001;NEUTRO;MULTICOLOR;UNICA;;26;ROLLERBLADE;TALLER;TORNILLOS;;SS;1;0;0;;http://bmsportech.es/media/images/marcas/rollerblade/products/09202600 001.UNICA.1.jpg;http://bmsportech.es/media/images/marcas/rollerblade/products/09202600 001.UNICA.2.jpg;;;;;;;;;;;Junior Frame Axle incluye ocho ejes de aluminio más un eje de freno más largo para patines Microblade, Microblade 3WD ALU, Spitfire y Comet.;9506 70 90;;VN;13,99;Tornilleria;;;;;;;;;;;;Patinaje;Taller;;Junior
8034033171699;09203000 001;09203000 001;09203000;TORNILLOS RACING AXLES (9UDS)RB;001;NEUTRO;MULTICOLOR;UNICA;;26;ROLLERBLADE;TALLER;TORNILLOS;;SS;1;0;0;;http://bmsportech.es/media/images/marcas/rollerblade/products/09203000 001.UNICA.1.jpg;;;;;;;;;;;;Race Axle incluye ocho ejes de carreras de aluminio más un eje de freno más largo para patines Twister Edge, RB, Powerblade, Endurace, Tempest, Twister y Metroblade.;9506 70 90;;TH;22,99;Tornilleria;;;;;;;;;;;;Patinaje;Taller;;Unisex
8034033171736;09203800 001;09203800 001;09203800;TORNILLOS FRENO COMP (10UDS);001;;;UNICA;;26;ROLLERBLADE;TALLER;TORNILLOS;;SS;1;0;0;;http://bmsportech.es/media/images/marcas/rollerblade/products/09203800 001.UNICA.1.jpg;;;;;;;;;;;;Brake Axle Fusion es un eje de freno más largo para patines Fusion X3 y Sirio Comp e incluye diez ejes y espaciadores de armazón para ensamblar o reemplazar.;9506 70 90;;TH;17,99;Tornilleria;;;;;;;;;;;;Patinaje;Taller;;Unisex
8034033171743;09204000 001;09204000 001;09204000;TORNILLOS FRENO RACING (10UDS);001;NEUTRO;MULTICOLOR;UNICA;;26;ROLLERBLADE;TALLER;TORNILLOS;;SS;1;0;0;;http://bmsportech.es/media/images/marcas/rollerblade/products/09204000 001.UNICA.1.jpg;;;;;;;;;;;;Brake Axle Race incluye diez ejes más largos y separadores de bastidor para reemplazo en Twister Edge, RB 110 y patines Metroblade.;9506 70 90;;TH;32,99;Tornilleria;;;;;;;;;;;;Patinaje;Taller;;Unisex
8034033171750;09204200 001;09204200 001;09204200;ESPACIADORES ALU 8MM (8UDS);001;NEUTRO;MULTICOLOR;UNICA;;26;ROLLERBLADE;TALLER;TORNILLOS;;SS;1;0;0;;http://bmsportech.es/media/images/marcas/rollerblade/products/09204200 001.UNICA.1.jpg;;;;;;;;;;;;El espaciador de rodamientos de 8 mm incluye ocho espaciadores de rodamiento para todos los modelos de 8 mm Rollerblade con excepción de: patines Microblade, Cyclone, Spitfire, Arrow y Thunder.;9506 70 90;;TH;17,99;Tornilleria;;;;;;;;;;;;Patinaje;Taller;;Unisex
