PRODUCT REF;EAN13 CODE;PURCHASE PRICE;AVAILABLE STOCK;PRODUCT DESCRIPTION;PICTURES;BRAND;MOTHER REF;PRODUCT IN;RETAIL PRICE
ABR-SH-BK-2-4;4891844734017;2.5;0;ABRASIVE PAD SLIDER HIGH MODEL Black 34-37;https://www.universkate.com/2-large_default/abrasive-pad-slider-high-model.jpg;SEBA;ABR-SH;;4.5
ABR-SH-BK-5-8;4891844734024;2.5;0;ABRASIVE PAD SLIDER HIGH MODEL Black 38-42;https://www.universkate.com/2-large_default/abrasive-pad-slider-high-model.jpg;SEBA;ABR-SH;;4.5
ABR-SH-BK-9-12;4891844734031;2.5;0;ABRASIVE PAD SLIDER HIGH MODEL Black 43-47;https://www.universkate.com/2-large_default/abrasive-pad-slider-high-model.jpg;SEBA;ABR-SH;;4.5
ABR-SH-BL-2-4;4891844734048;2.5;80;ABRASIVE PAD SLIDER HIGH MODEL Blue 34-37;https://www.universkate.com/2-large_default/abrasive-pad-slider-high-model.jpg;SEBA;ABR-SH;;4.5
ABR-SH-BL-5-8;4891844734055;2.5;16;ABRASIVE PAD SLIDER HIGH MODEL Blue 38-42;https://www.universkate.com/2-large_default/abrasive-pad-slider-high-model.jpg;SEBA;ABR-SH;;4.5
ABR-SH-BL-9-12;4891844734062;2.5;80;ABRASIVE PAD SLIDER HIGH MODEL Blue 43-47;https://www.universkate.com/2-large_default/abrasive-pad-slider-high-model.jpg;SEBA;ABR-SH;;4.5
ABR-SH-OR-2-4;4891844734161;2.5;0;ABRASIVE PAD SLIDER HIGH MODEL Orange 34-37;https://www.universkate.com/2-large_default/abrasive-pad-slider-high-model.jpg;SEBA;ABR-SH;;4.5
ABR-SH-OR-5-8;4891844734178;2.5;0;ABRASIVE PAD SLIDER HIGH MODEL Orange 38-42;https://www.universkate.com/2-large_default/abrasive-pad-slider-high-model.jpg;SEBA;ABR-SH;;4.5
ABR-SH-OR-9-12;4891844734185;2.5;1;ABRASIVE PAD SLIDER HIGH MODEL Orange 43-47;https://www.universkate.com/2-large_default/abrasive-pad-slider-high-model.jpg;SEBA;ABR-SH;;4.5
ABR-SH-RED-2-4;4891844734079;2.5;21;ABRASIVE PAD SLIDER HIGH MODEL Red 34-37;https://www.universkate.com/2-large_default/abrasive-pad-slider-high-model.jpg;SEBA;ABR-SH;;4.5
ABR-SH-RED-5-8;4891844734086;2.5;0;ABRASIVE PAD SLIDER HIGH MODEL Red 38-42;https://www.universkate.com/2-large_default/abrasive-pad-slider-high-model.jpg;SEBA;ABR-SH;;4.5
ABR-SH-RED-9-12;4891844734093;2.5;8;ABRASIVE PAD SLIDER HIGH MODEL Red 43-47;https://www.universkate.com/2-large_default/abrasive-pad-slider-high-model.jpg;SEBA;ABR-SH;;4.5
ABR-SH-VI-2-4;4891844734130;2.5;0;ABRASIVE PAD SLIDER HIGH MODEL 34-37 Purple;https://www.universkate.com/2-large_default/abrasive-pad-slider-high-model.jpg;SEBA;ABR-SH;;4.5
ABR-SH-VI-5-8;4891844734147;2.5;0;ABRASIVE PAD SLIDER HIGH MODEL 38-42 Purple;https://www.universkate.com/2-large_default/abrasive-pad-slider-high-model.jpg;SEBA;ABR-SH;;4.5
